policy,expert,expert_call_rate,expert_call_n,expert_calls_per_deferred_image,expert_call_equivalent,relative_cost_vs_dense,accuracy,macro_f1,qwk,gain_over_green,gain_over_best_single,gain_over_dense,random_accuracy_mean,random_accuracy_p975,gain_over_random_mean,above_random_975,gain_per_100_expert_calls
low_confidence,dense_average,0.4,440,2,880,0.4,0.8281818181818181,0.6881477857802528,0.8858928390431786,0.049090909090909074,0.014545454545454528,-0.0027272727272728003,0.7996927272727273,0.8090909090909091,0.028489090909090797,True,0.005578512396694213
low_margin,dense_average,0.4,440,2,880,0.4,0.8272727272727273,0.6868640932400188,0.8856935479361804,0.048181818181818215,0.013636363636363669,-0.0036363636363636598,0.7996927272727273,0.8090909090909091,0.027579999999999938,True,0.005475206611570252
high_entropy,dense_average,0.4,440,2,880,0.4,0.8272727272727273,0.685423979189786,0.8855283419041808,0.048181818181818215,0.013636363636363669,-0.0036363636363636598,0.7996927272727273,0.8090909090909091,0.027579999999999938,True,0.005475206611570252
low_confidence,dense_average,0.3,330,2,660,0.3,0.8254545454545454,0.6913229738208712,0.8837427575839316,0.046363636363636385,0.011818181818181839,-0.00545454545454549,0.7947131818181817,0.8036363636363636,0.030741363636363706,True,0.007024793388429755
low_confidence,both_average,0.3,330,2,660,0.3,0.8254545454545454,0.688660030799606,0.8859461761661006,0.046363636363636385,0.011818181818181839,-0.00545454545454549,0.796905,0.8072727272727273,0.028549545454545466,True,0.007024793388429755
high_entropy,dense_average,0.3,330,2,660,0.3,0.8245454545454546,0.6893745985637072,0.8853290507440614,0.045454545454545525,0.01090909090909098,-0.006363636363636349,0.7947131818181817,0.8036363636363636,0.029832272727272846,True,0.006887052341597807
low_margin,dense_average,0.3,330,2,660,0.3,0.8236363636363636,0.6890401431107908,0.8831643633430556,0.044545454545454555,0.010000000000000009,-0.0072727272727273196,0.7947131818181817,0.8036363636363636,0.028923181818181876,True,0.006749311294765841
low_margin,both_average,0.3,330,2,660,0.3,0.8227272727272728,0.6836105850505748,0.8851781849706929,0.043636363636363695,0.00909090909090915,-0.008181818181818179,0.796905,0.8072727272727273,0.025822272727272777,True,0.006611570247933893
low_confidence,convnext,0.5,550,1,550,0.25,0.8209090909090909,0.6710341752213351,0.8687052715165038,0.041818181818181865,0.0072727272727273196,-0.010000000000000009,0.796570909090909,0.8081818181818182,0.024338181818181925,True,0.007603305785123976
low_margin,convnext,0.5,550,1,550,0.25,0.8209090909090909,0.671616015629396,0.8686049283106055,0.041818181818181865,0.0072727272727273196,-0.010000000000000009,0.796570909090909,0.8081818181818182,0.024338181818181925,True,0.007603305785123976
high_entropy,convnext,0.5,550,1,550,0.25,0.8209090909090909,0.6710341752213351,0.8687052715165038,0.041818181818181865,0.0072727272727273196,-0.010000000000000009,0.796570909090909,0.8081818181818182,0.024338181818181925,True,0.007603305785123976
high_entropy,convnext,0.3,330,1,330,0.15,0.8190909090909091,0.6744408939319233,0.8754163498302471,0.040000000000000036,0.00545454545454549,-0.011818181818181839,0.7896622727272727,0.8009090909090909,0.02942863636363635,True,0.012121212121212132
low_margin,convnext,0.4,440,1,440,0.2,0.8190909090909091,0.6705341595953078,0.8722816271095628,0.040000000000000036,0.00545454545454549,-0.011818181818181839,0.7932531818181818,0.8054545454545454,0.025837727272727262,True,0.0090909090909091
low_margin,both_average,0.2,220,2,440,0.2,0.8181818181818182,0.6851553295893951,0.8817553484074726,0.039090909090909176,0.00454545454545463,-0.012727272727272698,0.7908004545454547,0.8,0.027381363636363565,True,0.008884297520661177
low_margin,retfound_mae,0.5,550,1,550,0.25,0.8181818181818182,0.6518457512463698,0.8748337233920722,0.039090909090909176,0.00454545454545463,-0.012727272727272698,0.7915177272727273,0.8045454545454546,0.026664090909090943,True,0.007107438016528942
low_confidence,convnext,0.4,440,1,440,0.2,0.8181818181818182,0.6668107966261043,0.8686197523406826,0.039090909090909176,0.00454545454545463,-0.012727272727272698,0.7932531818181818,0.8054545454545454,0.024928636363636403,True,0.008884297520661177
