policy,target,defer_rate,n_deferred,expected_cost_ms,accuracy,macro_f1,qwk,n_error,random_std_acc,gap_to_dense_acc,gain_over_green_acc,gain_over_best_single_acc
random_mean,retfound,0.1,110,2.6809747359948233,0.7812863636363636,,,,0.003831446115873609,0.04962272727272732,0.002195454545454556,-0.03234999999999999
oracle_upper,retfound,0.1,110,2.6809747359948233,0.8790909090909091,0.7782635210981496,0.9212635999236496,133.0,,-0.048181818181818215,0.10000000000000009,0.06545454545454554
confidence,retfound,0.2,220,3.488551781629212,0.8081818181818182,0.6698476531715706,0.8797546564740373,211.0,,0.022727272727272707,0.029090909090909167,-0.005454545454545379
margin,retfound,0.2,220,3.488551781629212,0.8081818181818182,0.6691926898369276,0.8780537854627499,211.0,,0.022727272727272707,0.029090909090909167,-0.005454545454545379
entropy,retfound,0.2,220,3.488551781629212,0.8009090909090909,0.6659766946491926,0.8782543035051817,219.0,,0.030000000000000027,0.021818181818181848,-0.012727272727272698
random_mean,retfound,0.2,220,3.488551781629212,0.7844181818181818,,,,0.004982647575286068,0.04649090909090914,0.005327272727272736,-0.02921818181818181
oracle_upper,retfound,0.2,220,3.488551781629212,0.8745454545454545,0.7689445937029581,0.9196390107037524,138.0,,-0.043636363636363584,0.09545454545454546,0.06090909090909091
confidence,retfound,0.3,330,4.296128827263601,0.8118181818181818,0.6677883707806302,0.876728110025267,207.0,,0.01909090909090916,0.032727272727272716,-0.0018181818181818299
margin,retfound,0.3,330,4.296128827263601,0.8118181818181818,0.6652364850678103,0.8800712770708584,207.0,,0.01909090909090916,0.032727272727272716,-0.0018181818181818299
entropy,retfound,0.3,330,4.296128827263601,0.8154545454545454,0.6722799796682947,0.8778564681547961,203.0,,0.015454545454545499,0.036363636363636376,0.0018181818181818299
random_mean,retfound,0.3,330,4.296128827263601,0.7863545454545453,,,,0.006300327946337789,0.044554545454545624,0.00726363636363625,-0.027281818181818296
oracle_upper,retfound,0.3,330,4.296128827263601,0.8663636363636363,0.7537376512749895,0.9107779888998205,147.0,,-0.035454545454545405,0.08727272727272728,0.052727272727272734
confidence,retfound,0.4,440,5.10370587289799,0.8136363636363636,0.6517984212222719,0.8743406041166524,205.0,,0.01727272727272733,0.034545454545454546,0.0
margin,retfound,0.4,440,5.10370587289799,0.8118181818181818,0.6474237958744526,0.8741034225675486,207.0,,0.01909090909090916,0.032727272727272716,-0.0018181818181818299
entropy,retfound,0.4,440,5.10370587289799,0.8145454545454546,0.655642827037234,0.8743488364354602,204.0,,0.016363636363636358,0.035454545454545516,0.0009090909090909705
random_mean,retfound,0.4,440,5.10370587289799,0.7894181818181818,,,,0.006754270152226383,0.041490909090909134,0.01032727272727274,-0.024218181818181805
oracle_upper,retfound,0.4,440,5.10370587289799,0.8554545454545455,0.7256559637716146,0.9050596493919981,159.0,,-0.024545454545454537,0.07636363636363641,0.041818181818181865
confidence,retfound,0.5,550,5.911282918532379,0.8154545454545454,0.6401070270943655,0.8734736739279085,203.0,,0.015454545454545499,0.036363636363636376,0.0018181818181818299
margin,retfound,0.5,550,5.911282918532379,0.8181818181818182,0.6518457512463698,0.8748337233920722,200.0,,0.012727272727272698,0.039090909090909176,0.00454545454545463
entropy,retfound,0.5,550,5.911282918532379,0.8118181818181818,0.6334034811965233,0.8721419755080307,207.0,,0.01909090909090916,0.032727272727272716,-0.0018181818181818299
random_mean,retfound,0.5,550,5.911282918532379,0.7907636363636362,,,,0.006731841200623589,0.040145454545454706,0.011672727272727168,-0.022872727272727378
oracle_upper,retfound,0.5,550,5.911282918532379,0.8463636363636363,0.7041620740338862,0.8979307533877047,169.0,,-0.015454545454545388,0.06727272727272726,0.032727272727272716
confidence,retfound,0.6,660,6.718859964166768,0.8109090909090909,0.6087497134226106,0.872555355819448,208.0,,0.020000000000000018,0.03181818181818186,-0.0027272727272726893
margin,retfound,0.6,660,6.718859964166768,0.81,0.6022499091998462,0.8724502737246115,209.0,,0.020909090909090877,0.030909090909090997,-0.0036363636363635488
entropy,retfound,0.6,660,6.718859964166768,0.8118181818181818,0.6150694525393795,0.8726607034999658,207.0,,0.01909090909090916,0.032727272727272716,-0.0018181818181818299
random_mean,retfound,0.6,660,6.718859964166768,0.7935227272727272,,,,0.006177095455346532,0.03738636363636372,0.014431818181818157,-0.02011363636363639
