dataset,backbone,target,method,budget,n_random,n,top_k,eligible_count,total_event,event_recall_mean,event_recall_ci95_low,event_recall_ci95_high,captured_event_mean,captured_event_ci95_low,captured_event_ci95_high,residual_event_count_mean,residual_event_count_ci95_low,residual_event_count_ci95_high,residual_event_rate_mean,residual_event_rate_ci95_low,residual_event_rate_ci95_high,enrichment_ratio_mean,enrichment_ratio_ci95_low,enrichment_ratio_ci95_high,event_recall_expected,captured_event_expected,residual_event_count_expected,residual_event_rate_expected,enrichment_ratio_expected
IDRiD_data,vit_l_official_like,vtdr_miss,random_gate_only,0.2,2000,103,21,79,17,0.26497058823529407,0.058823529411764705,0.47058823529411764,4.5045,1.0,8.0,12.4955,9.0,16.0,0.1523841463414634,0.10975609756097561,0.1951219512195122,1.2996176470588234,0.28851540616246496,2.3081232492997197,0.2658227848101266,4.518987341772152,12.481012658227847,0.15220747144180302,1.3037974683544304
IDRiD_data,vit_l_official_like,vtdr_miss,random_gate_only,0.3,2000,103,31,79,17,0.39267647058823524,0.17647058823529413,0.5882352941176471,6.6755,3.0,10.0,10.3245,7.0,14.0,0.1433958333333333,0.09722222222222222,0.19444444444444445,1.3046992409867169,0.5863377609108159,1.954459203036053,0.3924050632911392,6.670886075949367,10.329113924050633,0.14345991561181434,1.3037974683544304
IDRiD_data,vit_l_official_like,vtdr_miss,random_gate_only,0.4,2000,103,42,79,17,0.5349117647058824,0.35294117647058826,0.7647058823529411,9.0935,6.0,13.0,7.9065,4.0,11.0,0.1296147540983606,0.06557377049180328,0.18032786885245902,1.3118074229691874,0.8655462184873949,1.8753501400560224,0.5316455696202532,9.037974683544304,7.962025316455696,0.1305250051877983,1.3037974683544304
IDRiD_data,vit_l_official_like,vtdr_miss,random_gate_only,0.5,2000,103,52,79,17,0.6589411764705881,0.47058823529411764,0.8823529411764706,11.202,8.0,15.0,5.798,2.0,9.0,0.11368627450980393,0.0392156862745098,0.17647058823529413,1.3052104072398187,0.9321266968325792,1.7477375565610858,0.6582278481012658,11.189873417721518,5.810126582278482,0.1139240506329114,1.3037974683544302
MESSIDOR2,convnext_tiny,vtdr_miss,random_gate_only,0.05,2000,526,27,519,27,0.05146296296296296,0.0,0.14814814814814814,1.3895,0.0,4.0,25.6105,23.0,27.0,0.05132364729458918,0.04609218436873747,0.05410821643286573,1.00257475994513,0.0,2.8861454046639228,0.05202312138728323,1.4046242774566473,25.595375722543352,0.051293338121329364,1.0134874759152215
MESSIDOR2,convnext_tiny,vtdr_miss,random_gate_only,0.1,2000,526,53,519,27,0.10483333333333333,0.0,0.2222222222222222,2.8305,0.0,6.0,24.1695,21.0,27.0,0.05109830866807612,0.04439746300211417,0.05708245243128964,1.0404213836477987,0.0,2.2054507337526204,0.10211946050096339,2.7572254335260116,24.24277456647399,0.05125322318493444,1.0134874759152215
MESSIDOR2,convnext_tiny,vtdr_miss,random_gate_only,0.2,2000,526,106,519,27,0.2017962962962963,0.07407407407407407,0.37037037037037035,5.4485,2.0,10.0,21.5515,17.0,25.0,0.05131309523809524,0.04047619047619048,0.05952380952380952,1.0013665269042626,0.3675751222921034,1.8378756114605173,0.20423892100192678,5.514450867052023,21.485549132947977,0.05115606936416185,1.0134874759152215
MESSIDOR2,convnext_tiny,vtdr_miss,random_gate_only,0.3,2000,526,158,519,27,0.30718518518518517,0.14814814814814814,0.48148148148148145,8.294,4.0,13.0,18.706,14.0,23.0,0.05083152173913043,0.03804347826086957,0.0625,1.0226544772620723,0.493202062822316,1.602906704172527,0.30443159922928714,8.219653179190752,18.78034682080925,0.05103355114350339,1.0134874759152215
MESSIDOR2,convnext_tiny,vtdr_miss,random_gate_only,0.4,2000,526,211,519,27,0.40777777777777774,0.2222222222222222,0.5925925925925926,11.01,6.0,16.0,15.99,11.0,21.0,0.05076190476190476,0.03492063492063492,0.06666666666666667,1.0165455502896261,0.5539757767245919,1.4772687379322451,0.4065510597302505,10.976878612716764,16.023121387283236,0.05086705202312138,1.0134874759152215
MESSIDOR2,convnext_tiny,vtdr_miss,random_gate_only,0.5,2000,526,263,519,27,0.5083703703703704,0.3333333333333333,0.6666666666666666,13.726,9.0,18.0,13.274,9.0,18.0,0.05047148288973384,0.034220532319391636,0.06844106463878327,1.0167407407407407,0.6666666666666666,1.3333333333333333,0.5067437379576107,13.68208092485549,13.31791907514451,0.05063847557089167,1.0134874759152215
MESSIDOR2,retfound_mae_cfp_official_like,vtdr_miss,random_gate_only,0.05,2000,526,27,513,26,0.051326923076923076,0.0,0.15384615384615385,1.3345,0.0,4.0,24.6655,22.0,26.0,0.04942985971943889,0.04408817635270541,0.052104208416833664,0.9999245014245013,0.0,2.997150997150997,0.052631578947368425,1.368421052631579,24.63157894736842,0.04936188165805295,1.0253411306042886
MESSIDOR2,retfound_mae_cfp_official_like,vtdr_miss,random_gate_only,0.1,2000,526,53,513,26,0.10090384615384616,0.0,0.23076923076923078,2.6235,0.0,6.0,23.3765,20.0,26.0,0.049421775898520086,0.042283298097251586,0.05496828752642706,1.001423076923077,0.0,2.2902757619738754,0.10331384015594541,2.686159844054581,23.31384015594542,0.04928930265527573,1.0253411306042886
MESSIDOR2,retfound_mae_cfp_official_like,vtdr_miss,random_gate_only,0.2,2000,526,106,513,26,0.20905769230769233,0.07692307692307693,0.38461538461538464,5.4355,2.0,10.0,20.5645,16.0,24.0,0.04896309523809524,0.0380952380952381,0.05714285714285714,1.0373994920174165,0.38171262699564584,1.9085631349782295,0.20662768031189083,5.372319688109162,20.62768031189084,0.04911352455212104,1.0253411306042886
MESSIDOR2,retfound_mae_cfp_official_like,vtdr_miss,random_gate_only,0.3,2000,526,158,513,26,0.3090769230769231,0.15384615384615385,0.5,8.036,4.0,13.0,17.964,13.0,22.0,0.048815217391304344,0.035326086956521736,0.059782608695652176,1.028952288218111,0.5121713729308666,1.6645569620253164,0.3079922027290448,8.007797270955166,17.992202729044834,0.04889185524196966,1.0253411306042886
MESSIDOR2,retfound_mae_cfp_official_like,vtdr_miss,random_gate_only,0.4,2000,526,211,513,26,0.4125769230769231,0.23076923076923078,0.6153846153846154,10.727,6.0,16.0,15.273,10.0,20.0,0.048485714285714285,0.031746031746031744,0.06349206349206349,1.0285092963908127,0.5752825373678454,1.5340867663142546,0.4113060428849903,10.693957115009747,15.306042884990253,0.04859061233330239,1.0253411306042886
