dataset,backbone,event,method,n,accuracy,event_count,event_rate,auroc_error,aurc,augrc,partial_augrc_70_90,budget,top_k,total_event,top20_event_recall,top20_captured_event_count,top20_residual_event_count,top20_residual_event_rate
MESSIDOR2,convnext_tiny,vtdr_miss,confidence_only_1msp,526,0.5874524714828897,27,0.051330798479087454,0.8759741705633489,0.008653649003989175,0.00735698072836097,0.011186369616446673,0.2,106,27,0.8888888888888888,24,3,0.005703422053231939
MESSIDOR2,convnext_tiny,vtdr_miss,negative_margin,526,0.5874524714828897,27,0.051330798479087454,0.8694425888814666,0.009025270190339359,0.0076750422877300516,0.012449218580578006,0.2,106,27,0.8888888888888888,24,3,0.005703422053231939
MESSIDOR2,convnext_tiny,vtdr_miss,entropy,526,0.5874524714828897,27,0.051330798479087454,0.8897795591182365,0.007889450954637934,0.006684714250603593,0.009597868987552228,0.2,106,27,0.8888888888888888,24,3,0.005703422053231939
MESSIDOR2,convnext_tiny,vtdr_miss,expected_gap,526,0.5874524714828897,27,0.051330798479087454,0.7418540785274252,0.037689694795535154,0.013888085703132907,0.015518151194899448,0.2,106,27,0.7407407407407407,20,7,0.013307984790874524
MESSIDOR2,convnext_tiny,vtdr_miss,severe_prob_mass,526,0.5874524714828897,27,0.051330798479087454,0.936613968678097,0.005200909313534599,0.004404068296491204,0.005531741097890672,0.2,106,27,0.8888888888888888,24,3,0.005703422053231939
MESSIDOR2,convnext_tiny,vtdr_miss,gated_severe_prob_mass_only,526,0.5874524714828897,27,0.051330798479087454,0.9506420247903213,0.004438884722228044,0.0037209588110280615,0.005190186355159104,0.2,106,27,0.8888888888888888,24,3,0.005703422053231939
MESSIDOR2,retfound_mae_cfp_official_like,general_error,confidence_only_1msp,526,0.564638783269962,229,0.435361216730038,0.5899166335847559,0.40972338241610545,0.1955771371568188,0.3061031676039844,0.2,106,229,0.30131004366812225,69,160,0.3041825095057034
MESSIDOR2,retfound_mae_cfp_official_like,general_error,negative_margin,526,0.564638783269962,229,0.435361216730038,0.5889021216532133,0.4093951907705371,0.19582652633405137,0.30872356113287747,0.2,106,229,0.2925764192139738,67,162,0.30798479087452474
MESSIDOR2,retfound_mae_cfp_official_like,general_error,entropy,526,0.564638783269962,229,0.435361216730038,0.5911075823739579,0.4101884073718037,0.1952843759487632,0.30457430351747167,0.2,106,229,0.31004366812227074,71,158,0.30038022813688214
MESSIDOR2,retfound_mae_cfp_official_like,general_error,expected_gap,526,0.564638783269962,229,0.435361216730038,0.486554041139194,0.45819514678509216,0.22098591854732613,0.34599278578553977,0.2,106,229,0.2052401746724891,47,182,0.34600760456273766
MESSIDOR2,retfound_mae_cfp_official_like,general_error,severe_prob_mass,526,0.564638783269962,229,0.435361216730038,0.5754635143281431,0.42954451303989516,0.19913002934840754,0.3050835634460524,0.2,106,229,0.31004366812227074,71,158,0.30038022813688214
MESSIDOR2,retfound_mae_cfp_official_like,general_error,gated_severe_prob_mass_only,526,0.564638783269962,229,0.435361216730038,0.5729345860350227,0.4153421387537505,0.19967579406959762,0.3045414130607642,0.2,106,229,0.3056768558951965,70,159,0.30228136882129275
MESSIDOR2,retfound_mae_cfp_official_like,large_undergrading,confidence_only_1msp,526,0.564638783269962,79,0.15019011406844107,0.471412794155127,0.15992252943644183,0.07874372912721017,0.12617104483222252,0.2,106,79,0.1518987341772152,12,67,0.12737642585551331
MESSIDOR2,retfound_mae_cfp_official_like,large_undergrading,negative_margin,526,0.564638783269962,79,0.15019011406844107,0.4767649307620423,0.1579971177064239,0.07806061964174703,0.12451025748528967,0.2,106,79,0.17721518987341772,14,65,0.12357414448669202
MESSIDOR2,retfound_mae_cfp_official_like,large_undergrading,entropy,526,0.564638783269962,79,0.15019011406844107,0.4660606575482117,0.16278507084633326,0.0794268386126733,0.12741618355043444,0.2,106,79,0.12658227848101267,10,69,0.1311787072243346
MESSIDOR2,retfound_mae_cfp_official_like,large_undergrading,expected_gap,526,0.564638783269962,79,0.15019011406844107,0.6064338912015405,0.10399256976140438,0.06151057554684902,0.10873874134366551,0.2,106,79,0.25316455696202533,20,59,0.11216730038022814
MESSIDOR2,retfound_mae_cfp_official_like,large_undergrading,severe_prob_mass,526,0.564638783269962,79,0.15019011406844107,0.42491433749610624,0.1765435892515551,0.08467846867816509,0.13691935693735635,0.2,106,79,0.05063291139240506,4,75,0.14258555133079848
MESSIDOR2,retfound_mae_cfp_official_like,large_undergrading,gated_severe_prob_mass_only,526,0.564638783269962,79,0.15019011406844107,0.45399711154532324,0.1540857879378703,0.08096654570689182,0.1337629573942084,0.2,106,79,0.0759493670886076,6,73,0.13878326996197718
