method,route_signal,expert_mode,budget,expert_calls,n_images,accuracy,macro_f1,qwk,n_correct,n_error
uncertainty_defer,high_entropy,convnext,0.1,110,1100,0.7936363636363636,0.6558722154567804,0.8674852713304652,873,227
uncertainty_defer,high_entropy,retfound_official_protocol,0.1,110,1100,0.8036363636363636,0.6713358242367617,0.8872578795136413,884,216
uncertainty_defer,high_entropy,both_experts_average,0.1,220,1100,0.8027272727272727,0.6693326551423588,0.8826197515665836,883,217
uncertainty_defer,high_entropy,all_three_average,0.1,220,1100,0.8009090909090909,0.6660875497391409,0.8797284180309903,881,219
uncertainty_defer,high_entropy,convnext,0.2,220,1100,0.8036363636363636,0.6609129317257941,0.8687591457729541,884,216
uncertainty_defer,high_entropy,retfound_official_protocol,0.2,220,1100,0.8236363636363636,0.6917720152367534,0.9018602584697913,906,194
uncertainty_defer,high_entropy,both_experts_average,0.2,440,1100,0.8209090909090909,0.6870814316537489,0.8957775044637278,903,197
uncertainty_defer,high_entropy,all_three_average,0.2,440,1100,0.8163636363636364,0.6794194536373451,0.8918486481339752,898,202
uncertainty_defer,high_entropy,convnext,0.3,330,1100,0.8190909090909091,0.6744408939319233,0.8754163498302471,901,199
uncertainty_defer,high_entropy,retfound_official_protocol,0.3,330,1100,0.8418181818181818,0.7054223180120939,0.9113943849221866,926,174
uncertainty_defer,high_entropy,both_experts_average,0.3,660,1100,0.8409090909090909,0.7058955368244861,0.9055984799176972,925,175
uncertainty_defer,high_entropy,all_three_average,0.3,660,1100,0.8345454545454546,0.6974007181986739,0.9018945480835104,918,182
uncertainty_defer,high_entropy,convnext,0.4,440,1100,0.8172727272727273,0.6621904809323772,0.8684471108560757,899,201
uncertainty_defer,high_entropy,retfound_official_protocol,0.4,440,1100,0.8418181818181818,0.6996755987399528,0.9114103100875246,926,174
uncertainty_defer,high_entropy,both_experts_average,0.4,880,1100,0.8463636363636363,0.7108632125879101,0.907528942430116,931,169
uncertainty_defer,high_entropy,all_three_average,0.4,880,1100,0.8381818181818181,0.6987092838728279,0.9021620462018165,922,178
uncertainty_defer,high_entropy,convnext,0.5,550,1100,0.8209090909090909,0.6710341752213351,0.8687052715165038,903,197
uncertainty_defer,high_entropy,retfound_official_protocol,0.5,550,1100,0.8472727272727273,0.7103719164277722,0.9139634804108125,932,168
uncertainty_defer,high_entropy,both_experts_average,0.5,1100,1100,0.8518181818181818,0.7186682167890306,0.9099985075263315,937,163
uncertainty_defer,high_entropy,all_three_average,0.5,1100,1100,0.8445454545454546,0.7103835067488398,0.9059383144422132,929,171
