model_name,role,batch_start,batch_size,batch_ms,per_image_ms
retfound_mae_cfp_official_protocol,expert,480,32,110.58632098138332,3.455822530668229
retfound_mae_cfp_official_protocol,expert,512,32,111.4818409550935,3.483807529846672
retfound_mae_cfp_official_protocol,expert,544,32,111.73778108786792,3.4918056589958724
retfound_mae_cfp_official_protocol,expert,576,32,111.76784301642329,3.4927450942632277
retfound_mae_cfp_official_protocol,expert,608,32,112.66316403634846,3.5207238761358894
retfound_mae_cfp_official_protocol,expert,640,32,111.50418291799724,3.484505716187414
retfound_mae_cfp_official_protocol,expert,672,32,112.3693740228191,3.511542938213097
retfound_mae_cfp_official_protocol,expert,704,32,112.43713297881186,3.5136604055878706
retfound_mae_cfp_official_protocol,expert,736,32,112.62209399137646,3.5194404372305144
retfound_mae_cfp_official_protocol,expert,768,32,114.1107389703393,3.565960592823103
retfound_mae_cfp_official_protocol,expert,800,32,113.21359500288963,3.537924843840301
retfound_mae_cfp_official_protocol,expert,832,32,112.58408101275563,3.5182525316486135
retfound_mae_cfp_official_protocol,expert,864,32,112.47369495686144,3.51480296740192
retfound_mae_cfp_official_protocol,expert,896,32,112.4628009274602,3.514462528983131
retfound_mae_cfp_official_protocol,expert,928,32,112.46455006767064,3.5145171896147076
retfound_mae_cfp_official_protocol,expert,960,32,112.24608402699232,3.50769012584351
retfound_mae_cfp_official_protocol,expert,992,32,112.3141871066764,3.5098183470836375
retfound_mae_cfp_official_protocol,expert,1024,32,112.64775996096432,3.520242498780135
retfound_mae_cfp_official_protocol,expert,1056,32,111.56770901288837,3.4864909066527616
retfound_mae_cfp_official_protocol,expert,1088,12,46.06548300944269,3.8387902507868907
