dataset,backbone,target,ranking_method,score_col,budget,n,top_k,total_event,captured_event,residual_event,base_event_rate,flagged_event_rate,event_recall,enrichment_ratio,low_risk_npv
MESSIDOR2,convnext_tiny,large_undergrading,severe_prob_mass_only,severe_prob_mass,0.3,526,158,99,50,49,0.188212927756654,0.31645569620253167,0.5050505050505051,1.681370668712441,0.8668478260869565
MESSIDOR2,convnext_tiny,large_undergrading,entropy_only,entropy,0.1,526,53,99,15,84,0.188212927756654,0.2830188679245283,0.15151515151515152,1.5037164093767867,0.8224101479915433
MESSIDOR2,convnext_tiny,large_undergrading,entropy_only,entropy,0.2,526,106,99,29,70,0.188212927756654,0.27358490566037735,0.29292929292929293,1.453592529064227,0.8333333333333334
MESSIDOR2,convnext_tiny,large_undergrading,entropy_only,entropy,0.3,526,158,99,50,49,0.188212927756654,0.31645569620253167,0.5050505050505051,1.681370668712441,0.8668478260869565
MESSIDOR2,convnext_tiny,large_undergrading,low_margin_only,margin,0.1,526,53,99,13,86,0.188212927756654,0.24528301886792453,0.13131313131313133,1.3032208881265486,0.8181818181818181
MESSIDOR2,convnext_tiny,large_undergrading,low_margin_only,margin,0.2,526,106,99,28,71,0.188212927756654,0.2641509433962264,0.2828282828282828,1.4034686487516677,0.8309523809523809
MESSIDOR2,convnext_tiny,large_undergrading,low_margin_only,margin,0.3,526,158,99,50,49,0.188212927756654,0.31645569620253167,0.5050505050505051,1.681370668712441,0.8668478260869565
MESSIDOR2,convnext_tiny,large_undergrading,low_confidence_only,confidence,0.1,526,53,99,15,84,0.188212927756654,0.2830188679245283,0.15151515151515152,1.5037164093767867,0.8224101479915433
MESSIDOR2,convnext_tiny,large_undergrading,low_confidence_only,confidence,0.2,526,106,99,28,71,0.188212927756654,0.2641509433962264,0.2828282828282828,1.4034686487516677,0.8309523809523809
MESSIDOR2,convnext_tiny,large_undergrading,low_confidence_only,confidence,0.3,526,158,99,50,49,0.188212927756654,0.31645569620253167,0.5050505050505051,1.681370668712441,0.8668478260869565
MESSIDOR2,convnext_tiny,vision_threatening_dr_miss,expected_gap_only,expected_gap,0.1,526,53,27,13,14,0.051330798479087454,0.24528301886792453,0.48148148148148145,4.778476589797345,0.9704016913319239
MESSIDOR2,convnext_tiny,vision_threatening_dr_miss,expected_gap_only,expected_gap,0.2,526,106,27,20,7,0.051330798479087454,0.18867924528301888,0.7407407407407407,3.6757512229210345,0.9833333333333333
MESSIDOR2,convnext_tiny,vision_threatening_dr_miss,expected_gap_only,expected_gap,0.3,526,158,27,20,7,0.051330798479087454,0.12658227848101267,0.7407407407407407,2.46601031411158,0.9809782608695652
MESSIDOR2,convnext_tiny,vision_threatening_dr_miss,gated_severe_prob_mass_only,gated_severe_prob_mass,0.1,526,53,27,23,4,0.051330798479087454,0.4339622641509434,0.8518518518518519,8.45422781271838,0.9915433403805497
MESSIDOR2,convnext_tiny,vision_threatening_dr_miss,gated_severe_prob_mass_only,gated_severe_prob_mass,0.2,526,106,27,24,3,0.051330798479087454,0.22641509433962265,0.8888888888888888,4.410901467505241,0.9928571428571429
