dataset,backbone,true_grade,pred_grade,count
MESSIDOR2,vit_l_official_like,3,0,4
MESSIDOR2,vit_l_official_like,3,1,1
MESSIDOR2,vit_l_official_like,3,2,13
MESSIDOR2,vit_l_official_like,3,3,0
MESSIDOR2,vit_l_official_like,3,4,5
MESSIDOR2,vit_l_official_like,4,0,1
MESSIDOR2,vit_l_official_like,4,1,0
MESSIDOR2,vit_l_official_like,4,2,2
MESSIDOR2,vit_l_official_like,4,3,0
MESSIDOR2,vit_l_official_like,4,4,8
