target,target_role,fold,evaluation_scope,backbone,ranking_method,n_records,positive_records,auroc,auprc
large_undergrading,primary,2,per_backbone,vit_b_official_like,severe_prob_mass_only,218,6,0.7940251572327044,0.07217073601483509
large_undergrading,primary,2,per_backbone,vit_b_official_like,gated_severe_prob_mass_only,218,6,0.8632075471698114,0.1236111111111111
large_undergrading,primary,2,per_backbone,vit_b_official_like,expected_grade_only,218,6,0.7452830188679245,0.06300368794110758
large_undergrading,primary,2,per_backbone,vit_b_official_like,expected_gap_only,218,6,0.7240566037735849,0.2664539452133726
large_undergrading,primary,2,per_backbone,vit_b_official_like,top2_more_severe_only,218,6,0.7562893081761006,0.14384740551766997
large_undergrading,primary,2,per_backbone,vit_b_official_like,learned_logistic,218,6,0.8773584905660378,0.2111111111111111
large_undergrading,primary,2,per_backbone,vit_l_official_like,confidence_only,218,9,0.7054758107389686,0.14414901119679982
large_undergrading,primary,2,per_backbone,vit_l_official_like,margin_only,218,9,0.7166400850611377,0.1536458215991085
large_undergrading,primary,2,per_backbone,vit_l_official_like,entropy_only,218,9,0.6762360446570973,0.11329155684708431
large_undergrading,primary,2,per_backbone,vit_l_official_like,uncertainty_rank_fusion,218,9,0.7028176501860712,0.1535883928391709
large_undergrading,primary,2,per_backbone,vit_l_official_like,ophagent_combined,218,9,0.7187666135034556,0.1838155839688981
large_undergrading,primary,2,per_backbone,vit_l_official_like,severe_prob_mass_only,218,9,0.6198830409356726,0.07348545680511773
large_undergrading,primary,2,per_backbone,vit_l_official_like,gated_severe_prob_mass_only,218,9,0.7086656034024454,0.2792548895262073
large_undergrading,primary,2,per_backbone,vit_l_official_like,expected_grade_only,218,9,0.6087187666135033,0.07205466038870184
large_undergrading,primary,2,per_backbone,vit_l_official_like,expected_gap_only,218,9,0.7660818713450293,0.23622799635948166
large_undergrading,primary,2,per_backbone,vit_l_official_like,top2_more_severe_only,218,9,0.797979797979798,0.19660305013711227
large_undergrading,primary,2,per_backbone,vit_l_official_like,learned_logistic,218,9,0.7767145135566188,0.2540385864947268
large_undergrading,primary,3,pooled_analysis_only,ALL,confidence_only,1308,58,0.7266620689655172,0.09236477942552661
large_undergrading,primary,3,pooled_analysis_only,ALL,margin_only,1308,58,0.7210068965517241,0.09186125481155322
large_undergrading,primary,3,pooled_analysis_only,ALL,entropy_only,1308,58,0.7310344827586207,0.10584507873662269
