target,target_role,evaluation_scope,backbone,ranking_method,n_folds,mean_auroc,std_auroc,mean_auprc,std_auprc,mean_positive_records
large_undergrading,primary,per_backbone,swin_tiny,gated_severe_prob_mass_only,5,0.8784550928111461,0.017418326269474708,0.23104428347166212,0.09604806550834431,7.4
large_undergrading,primary,per_backbone,swin_tiny,ophagent_combined,5,0.7923529024778759,0.044550537739171135,0.1953689758031533,0.10215889653985002,7.4
large_undergrading,primary,per_backbone,swin_tiny,learned_logistic,5,0.8259587357903948,0.015727378569247292,0.1843666453592021,0.07364778722185497,7.4
large_undergrading,primary,per_backbone,swin_tiny,entropy_only,5,0.7798504717073198,0.05205540418531773,0.12739012328008975,0.04510820801279934,7.4
large_undergrading,primary,per_backbone,swin_tiny,top2_more_severe_only,5,0.7109659786415761,0.1476190873648423,0.12432312526917651,0.029790017467036817,7.4
large_undergrading,primary,per_backbone,swin_tiny,uncertainty_rank_fusion,5,0.7643593826431011,0.042506513775227316,0.11506597719817309,0.045058950488133215,7.4
large_undergrading,primary,per_backbone,swin_tiny,confidence_only,5,0.7613641901202295,0.040970312772725795,0.11393264975728341,0.04539323500514884,7.4
large_undergrading,primary,per_backbone,swin_tiny,margin_only,5,0.7580600205605789,0.04303374450266216,0.10483539351212894,0.03720771845881472,7.4
large_undergrading,primary,per_backbone,swin_tiny,severe_prob_mass_only,5,0.7895626747758303,0.0295802850719643,0.08509429081914807,0.017020575137824522,7.4
large_undergrading,primary,per_backbone,swin_tiny,expected_grade_only,5,0.7549746485535065,0.02999161493889673,0.07920808499997642,0.019990616033152376,7.4
large_undergrading,primary,per_backbone,vit_b_imagenet,expected_gap_only,5,0.7766361778389964,0.08044536333329848,0.2849043548381299,0.10879749597087877,8.6
large_undergrading,primary,per_backbone,vit_b_imagenet,learned_logistic,5,0.8316132854130538,0.04326305784576745,0.2228541261010492,0.05828986211363911,8.6
large_undergrading,primary,per_backbone,vit_b_imagenet,gated_severe_prob_mass_only,5,0.8227968606947762,0.0494685456872162,0.2135116928808772,0.1655076483977617,8.6
large_undergrading,primary,per_backbone,vit_b_imagenet,ophagent_combined,5,0.7918272822699197,0.06222607367184235,0.203036752736769,0.146210056854555,8.6
large_undergrading,primary,per_backbone,vit_b_imagenet,top2_more_severe_only,5,0.7308565849896164,0.05135607737266263,0.1514437380890632,0.027342446372020192,8.6
large_undergrading,primary,per_backbone,vit_b_imagenet,uncertainty_rank_fusion,5,0.7599400279351601,0.07144381636264129,0.14809681356132548,0.122710573118055,8.6
large_undergrading,primary,per_backbone,vit_b_imagenet,confidence_only,5,0.7579585746131142,0.07122946469059423,0.1346483879001052,0.10010501901853017,8.6
large_undergrading,primary,per_backbone,vit_b_imagenet,entropy_only,5,0.7640678643783545,0.07001320602050272,0.12463534850461307,0.06132545651762068,8.6
large_undergrading,primary,per_backbone,vit_b_imagenet,margin_only,5,0.754852583228241,0.07260334076046251,0.12363073643236189,0.08070203088444071,8.6
large_undergrading,primary,per_backbone,vit_b_imagenet,severe_prob_mass_only,5,0.713986161112747,0.06837443493130797,0.07443229728064212,0.016274634837075367,8.6
large_undergrading,primary,per_backbone,vit_b_imagenet,expected_grade_only,5,0.6841004965852644,0.05299949479219578,0.06832485529597192,0.012537733171039749,8.6
large_undergrading,primary,per_backbone,vit_b_official_like,expected_gap_only,5,0.8200572411603206,0.05684896908755453,0.3651090632966367,0.07992874226047983,11.0
large_undergrading,primary,per_backbone,vit_b_official_like,gated_severe_prob_mass_only,5,0.8470576112379666,0.04213748168363085,0.28263888459835795,0.11382635824404844,11.0
large_undergrading,primary,per_backbone,vit_b_official_like,learned_logistic,5,0.8611681401484335,0.035661864418930884,0.2771145723073382,0.07651337552728486,11.0
large_undergrading,primary,per_backbone,vit_b_official_like,ophagent_combined,5,0.8374352563634627,0.04246633255286073,0.24104186090378737,0.10173706347616121,11.0
large_undergrading,primary,per_backbone,vit_b_official_like,top2_more_severe_only,5,0.8128384882029124,0.03433613905987973,0.2015556303024375,0.05243409297006793,11.0
large_undergrading,primary,per_backbone,vit_b_official_like,entropy_only,5,0.7826287693965165,0.036330442569710984,0.16642577960545266,0.07221647679395397,11.0
large_undergrading,primary,per_backbone,vit_b_official_like,margin_only,5,0.784127681613274,0.050013689889834914,0.16358265377205772,0.03833372935860792,11.0
large_undergrading,primary,per_backbone,vit_b_official_like,confidence_only,5,0.7890747374887399,0.046362350662926495,0.16350373168749915,0.06720502333297476,11.0
large_undergrading,primary,per_backbone,vit_b_official_like,uncertainty_rank_fusion,5,0.7860602668791825,0.04346491042552592,0.1578482242042965,0.06285846653521933,11.0
large_undergrading,primary,per_backbone,vit_b_official_like,severe_prob_mass_only,5,0.7637681779704308,0.047036915037856133,0.11138083661549855,0.03042421845352506,11.0
large_undergrading,primary,per_backbone,vit_b_official_like,expected_grade_only,5,0.7291461537654088,0.04930462018667957,0.10410835589859233,0.032284688100813135,11.0
large_undergrading,primary,per_backbone,vit_l_official_like,gated_severe_prob_mass_only,5,0.7516307573059668,0.13493050489649364,0.20836862815061385,0.14730971891606415,8.2
large_undergrading,primary,per_backbone,vit_l_official_like,ophagent_combined,5,0.7457780743860395,0.12392192769027752,0.20380334652960008,0.10384054214094526,8.2
large_undergrading,primary,per_backbone,vit_l_official_like,learned_logistic,5,0.7562210237127445,0.06141155090251501,0.17474006113260487,0.10744650404940816,8.2
large_undergrading,primary,per_backbone,vit_l_official_like,top2_more_severe_only,5,0.749217999432677,0.08341000601499861,0.17316242051074093,0.11214031492680608,8.2
large_undergrading,primary,per_backbone,vit_l_official_like,entropy_only,5,0.6908821045681799,0.12238313439718433,0.12339949328399782,0.07878830733018001,8.2
large_undergrading,primary,per_backbone,vit_l_official_like,confidence_only,5,0.7108753511338844,0.13729667429425046,0.11791477544633774,0.056147010760419704,8.2
large_undergrading,primary,per_backbone,vit_l_official_like,margin_only,5,0.715329972128926,0.1325701482603801,0.11621957272093095,0.0537923659009103,8.2
large_undergrading,primary,per_backbone,vit_l_official_like,uncertainty_rank_fusion,5,0.7078107133241629,0.1344135709736405,0.11200152881181813,0.050223798885588214,8.2
large_undergrading,primary,per_backbone,vit_l_official_like,expected_gap_only,5,0.6152023366027084,0.11018591433641181,0.09865760284052631,0.08023767944217847,8.2
large_undergrading,primary,per_backbone,vit_l_official_like,expected_grade_only,5,0.633824061415953,0.13451243946746044,0.06764013317893161,0.0354770062404405,8.2
large_undergrading,primary,per_backbone,vit_l_official_like,severe_prob_mass_only,5,0.6358631170636609,0.14292556293031045,0.06737707220651615,0.03283787682172292,8.2
large_undergrading,primary,pooled_analysis_only,ALL,ophagent_combined,5,0.8111132539042195,0.03410022887932669,0.1863427599184611,0.04132445757789511,52.6
large_undergrading,primary,pooled_analysis_only,ALL,learned_logistic,5,0.8298778206949695,0.02298802210437514,0.16905592135607717,0.013117287723181843,52.6
large_undergrading,primary,pooled_analysis_only,ALL,gated_severe_prob_mass_only,5,0.783883148771326,0.020609073411104687,0.1526988238084523,0.021811209400724833,52.6
large_undergrading,primary,pooled_analysis_only,ALL,expected_gap_only,5,0.759269834042201,0.04816693720943819,0.14727646791471777,0.018949129525374718,52.6
large_undergrading,primary,pooled_analysis_only,ALL,top2_more_severe_only,5,0.775189174525317,0.04545283964164709,0.12858721338643847,0.012001595404032782,52.6
large_undergrading,primary,pooled_analysis_only,ALL,confidence_only,5,0.7419195870265722,0.03166556478979641,0.10653807103578845,0.01328255277418287,52.6
large_undergrading,primary,pooled_analysis_only,ALL,uncertainty_rank_fusion,5,0.7421522477399151,0.030570454327077144,0.10580389680819265,0.014603597476473742,52.6
large_undergrading,primary,pooled_analysis_only,ALL,entropy_only,5,0.7312317234489435,0.023509420642437204,0.1025721898148588,0.017358386695802176,52.6
large_undergrading,primary,pooled_analysis_only,ALL,margin_only,5,0.7450117023231884,0.03574220330581993,0.09624003650546524,0.013248599635655181,52.6
large_undergrading,primary,pooled_analysis_only,ALL,expected_grade_only,5,0.7016405868083383,0.042451689484567144,0.06490983378877566,0.013118272061658517,52.6
large_undergrading,primary,pooled_analysis_only,ALL,severe_prob_mass_only,5,0.6841759551460465,0.029424420597822375,0.06314890383712471,0.010175729215597097,52.6
vision_threatening_dr_miss,primary,per_backbone,convnext_tiny,gated_severe_prob_mass_only,5,0.8873706604317142,0.03543310591963411,0.3769626212186818,0.042831722122381746,13.0
vision_threatening_dr_miss,primary,per_backbone,convnext_tiny,ophagent_combined,5,0.8653947997051858,0.025359153850350605,0.36840078749659927,0.05030846426841328,13.0
vision_threatening_dr_miss,primary,per_backbone,convnext_tiny,learned_logistic,5,0.8834177283365813,0.03770541125684418,0.36210777767590474,0.07061517550821486,13.0
vision_threatening_dr_miss,primary,per_backbone,convnext_tiny,expected_gap_only,5,0.8288013280105361,0.06266696041976298,0.3172421343831297,0.07264800213332687,13.0
vision_threatening_dr_miss,primary,per_backbone,convnext_tiny,entropy_only,5,0.8204549853457381,0.029958234400472974,0.23087800270163328,0.03632981586300439,13.0
vision_threatening_dr_miss,primary,per_backbone,convnext_tiny,confidence_only,5,0.8135027760526665,0.03143236479470172,0.22902485864200753,0.05060316673498521,13.0
vision_threatening_dr_miss,primary,per_backbone,convnext_tiny,uncertainty_rank_fusion,5,0.8156683773430015,0.031471958359578334,0.2254593606871303,0.07119289144965557,13.0
vision_threatening_dr_miss,primary,per_backbone,convnext_tiny,top2_more_severe_only,5,0.76745176893679,0.09744922210589324,0.22074920694141817,0.04084454161248047,13.0
vision_threatening_dr_miss,primary,per_backbone,convnext_tiny,margin_only,5,0.8058212050020996,0.035351897661407394,0.19994222228308234,0.08926748087504029,13.0
vision_threatening_dr_miss,primary,per_backbone,convnext_tiny,severe_prob_mass_only,5,0.7952414582811469,0.022372275721464753,0.13828078477777303,0.015394772688059733,13.0
vision_threatening_dr_miss,primary,per_backbone,convnext_tiny,expected_grade_only,5,0.7879775072039561,0.02069742437510732,0.13572371450517662,0.01974443017393311,13.0
vision_threatening_dr_miss,primary,per_backbone,retfound_official_like,gated_severe_prob_mass_only,5,0.8903298636227774,0.02812376138904329,0.3237361911503912,0.13058084265751013,12.0
vision_threatening_dr_miss,primary,per_backbone,retfound_official_like,learned_logistic,5,0.8835753659162118,0.02961266609057452,0.3064856803708088,0.13936525263206948,12.0
vision_threatening_dr_miss,primary,per_backbone,retfound_official_like,ophagent_combined,5,0.8625798857933255,0.03580416067835789,0.30604400388903075,0.14364900658997978,12.0
vision_threatening_dr_miss,primary,per_backbone,retfound_official_like,confidence_only,5,0.8133283166524837,0.04120656429081599,0.21533000271933567,0.07161722688313676,12.0
vision_threatening_dr_miss,primary,per_backbone,retfound_official_like,uncertainty_rank_fusion,5,0.8112375911005506,0.04121608897118997,0.20381439618308375,0.10334148004535187,12.0
vision_threatening_dr_miss,primary,per_backbone,retfound_official_like,top2_more_severe_only,5,0.7916553353777631,0.0717588587720619,0.19309997223743722,0.09399489909629206,12.0
vision_threatening_dr_miss,primary,per_backbone,retfound_official_like,expected_gap_only,5,0.7986640713510507,0.07194731662253567,0.1899985246915093,0.09596040972403357,12.0
vision_threatening_dr_miss,primary,per_backbone,retfound_official_like,entropy_only,5,0.8048281312542741,0.03555770931370615,0.18674829121830672,0.062973990632238,12.0
