target,target_role,evaluation_scope,backbone,ranking_method,review_budget,n_folds,mean_recall,std_recall,mean_precision,std_precision,mean_lift,std_lift,mean_captured,mean_total,mean_residual,total_captured,total_dangerous,total_residual
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,entropy_only,0.1,5,0.13463477698771817,0.05182958737097295,0.08102766798418973,0.019959495925616754,1.334348515934194,0.5164243491193827,1.8,14.2,12.4,9,71,62
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,severe_prob_mass_only,0.1,5,0.02967032967032967,0.0406741879633445,0.017786561264822136,0.024365272739007814,0.29204056812752466,0.4001201242906457,0.4,14.2,13.8,2,71,69
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,expected_grade_only,0.1,5,0.015384615384615385,0.034401045807689073,0.008695652173913044,0.019444069369563388,0.14983277591973243,0.3350362722140153,0.2,14.2,14.0,1,71,70
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,gated_severe_prob_mass_only,0.15,5,0.5942857142857143,0.2430144005406599,0.2522281639928699,0.09795815803232859,3.9331296154825566,1.5903478415510508,8.4,14.2,5.8,42,71,29
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,top2_more_severe_only,0.15,5,0.5681318681318681,0.156229067235371,0.24064171122994651,0.07559487614488423,3.7620340443869855,1.0208257013261692,8.0,14.2,6.2,40,71,31
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,learned_logistic,0.15,5,0.5446024563671623,0.1381040109646866,0.2285204991087344,0.05217368624905805,3.606953830483242,0.90224090416445,7.6,14.2,6.6,38,71,33
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,ophagent_combined,0.15,5,0.48325791855203626,0.18377810089547547,0.1982174688057041,0.059205801576951954,3.2009186891539834,1.2079512811705766,6.6,14.2,7.6,33,71,38
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,margin_only,0.15,5,0.355759534583064,0.15900950153809684,0.14420677361853834,0.05654586800666683,2.3564082975847684,1.0495865757736353,4.8,14.2,9.4,24,71,47
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,confidence_only,0.15,5,0.3178539107950873,0.12631462043946717,0.1322638146167558,0.05391088711397865,2.1046306634541927,0.8309428989886022,4.4,14.2,9.8,22,71,49
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,uncertainty_rank_fusion,0.15,5,0.30608920491273434,0.15011949134589714,0.12620320855614975,0.064620136367405,2.0265557971440322,0.989620786259171,4.2,14.2,10.0,21,71,50
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,entropy_only,0.15,5,0.27531997414350357,0.0702234400337636,0.11443850267379681,0.0251898842095394,1.8245538774950538,0.4662220978397466,3.8,14.2,10.4,19,71,52
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,expected_grade_only,0.15,5,0.24827407886231417,0.1336347749724966,0.10196078431372549,0.04864383600671,1.6436935613406203,0.8783352003307885,3.4,14.2,10.8,17,71,54
