target,target_role,fold,evaluation_scope,backbone,ranking_method,review_budget,actual_review_budget,n_records,reviewed_n,auto_released_n,dangerous_error_total,dangerous_error_captured,dangerous_error_recall_at_k,dangerous_error_precision_at_k,dangerous_error_lift_vs_random,residual_dangerous_error_count,residual_dangerous_error_rate,dangerous_errors_per_100_reviewed,number_needed_to_review
large_undergrading,primary,1,per_backbone,retfound_official_like,confidence_only,0.3,0.3,220,66,154,8,3,0.375,0.045454545454545456,1.25,5,0.032467532467532464,4.545454545454546,22.0
large_undergrading,primary,1,per_backbone,retfound_official_like,confidence_only,0.4,0.4,220,88,132,8,5,0.625,0.056818181818181816,1.5625,3,0.022727272727272728,5.681818181818182,17.6
large_undergrading,primary,1,per_backbone,retfound_official_like,confidence_only,0.5,0.5,220,110,110,8,7,0.875,0.06363636363636363,1.75,1,0.00909090909090909,6.363636363636363,15.714285714285715
large_undergrading,primary,1,per_backbone,retfound_official_like,margin_only,0.05,0.05,220,11,209,8,1,0.125,0.09090909090909091,2.5,7,0.03349282296650718,9.090909090909092,11.0
large_undergrading,primary,1,per_backbone,retfound_official_like,margin_only,0.1,0.1,220,22,198,8,1,0.125,0.045454545454545456,1.25,7,0.03535353535353535,4.545454545454546,22.0
large_undergrading,primary,1,per_backbone,retfound_official_like,margin_only,0.15,0.15,220,33,187,8,2,0.25,0.06060606060606061,1.6666666666666667,6,0.03208556149732621,6.0606060606060606,16.5
large_undergrading,primary,1,per_backbone,retfound_official_like,margin_only,0.2,0.2,220,44,176,8,2,0.25,0.045454545454545456,1.25,6,0.03409090909090909,4.545454545454546,22.0
large_undergrading,primary,1,per_backbone,retfound_official_like,margin_only,0.25,0.25,220,55,165,8,2,0.25,0.03636363636363636,1.0,6,0.03636363636363636,3.6363636363636362,27.5
large_undergrading,primary,1,per_backbone,retfound_official_like,margin_only,0.3,0.3,220,66,154,8,2,0.25,0.030303030303030304,0.8333333333333334,6,0.03896103896103896,3.0303030303030303,33.0
large_undergrading,primary,1,per_backbone,retfound_official_like,margin_only,0.4,0.4,220,88,132,8,6,0.75,0.06818181818181818,1.875,2,0.015151515151515152,6.8181818181818175,14.666666666666668
large_undergrading,primary,1,per_backbone,retfound_official_like,margin_only,0.5,0.5,220,110,110,8,7,0.875,0.06363636363636363,1.75,1,0.00909090909090909,6.363636363636363,15.714285714285715
large_undergrading,primary,1,per_backbone,retfound_official_like,entropy_only,0.05,0.05,220,11,209,8,0,0.0,0.0,0.0,8,0.03827751196172249,0.0,
