bootstrap_id,target,method,brute_recall,weighted_recall,recall_abs_diff,brute_mean_backbone_recall,weighted_mean_backbone_recall,mean_backbone_recall_abs_diff,brute_captured,weighted_captured,captured_abs_diff,brute_total,weighted_total,total_abs_diff,brute_residual,weighted_residual,residual_abs_diff
29,vision_threatening_dr_miss,learned_logistic,0.7246376811594203,0.7246376811594203,0.0,0.7195046159126748,0.7195046159126748,0.0,250.0,250.0,0.0,345.0,345.0,0.0,95.0,95.0,0.0
29,vision_threatening_dr_miss,ophagent_combined,0.6260869565217392,0.6260869565217392,0.0,0.6265105344509582,0.6265105344509582,0.0,216.0,216.0,0.0,345.0,345.0,0.0,129.0,129.0,0.0
30,vision_threatening_dr_miss,learned_logistic,0.6807095343680709,0.6807095343680709,0.0,0.6780850759698464,0.6780850759698464,0.0,307.0,307.0,0.0,451.0,451.0,0.0,144.0,144.0,0.0
30,vision_threatening_dr_miss,ophagent_combined,0.6053215077605322,0.6053215077605322,0.0,0.6058739791616504,0.6058739791616504,0.0,273.0,273.0,0.0,451.0,451.0,0.0,178.0,178.0,0.0
31,vision_threatening_dr_miss,learned_logistic,0.7662650602409639,0.7662650602409639,0.0,0.7689385435842299,0.7689385435842299,0.0,318.0,318.0,0.0,415.0,415.0,0.0,97.0,97.0,0.0
31,vision_threatening_dr_miss,ophagent_combined,0.6048192771084338,0.6048192771084338,0.0,0.6067780751072082,0.6067780751072082,0.0,251.0,251.0,0.0,415.0,415.0,0.0,164.0,164.0,0.0
32,vision_threatening_dr_miss,learned_logistic,0.6713947990543735,0.6713947990543735,0.0,0.6649081683001173,0.6649081683001173,0.0,284.0,284.0,0.0,423.0,423.0,0.0,139.0,139.0,0.0
32,vision_threatening_dr_miss,ophagent_combined,0.5508274231678487,0.5508274231678487,0.0,0.5498712576879717,0.5498712576879717,0.0,233.0,233.0,0.0,423.0,423.0,0.0,190.0,190.0,0.0
33,vision_threatening_dr_miss,learned_logistic,0.753125,0.753125,0.0,0.7509633575867016,0.7509633575867016,0.0,241.0,241.0,0.0,320.0,320.0,0.0,79.0,79.0,0.0
33,vision_threatening_dr_miss,ophagent_combined,0.69375,0.69375,0.0,0.6874547565374542,0.6874547565374542,0.0,222.0,222.0,0.0,320.0,320.0,0.0,98.0,98.0,0.0
34,vision_threatening_dr_miss,learned_logistic,0.7185929648241206,0.7185929648241206,0.0,0.7160286838433323,0.7160286838433323,0.0,286.0,286.0,0.0,398.0,398.0,0.0,112.0,112.0,0.0
34,vision_threatening_dr_miss,ophagent_combined,0.592964824120603,0.592964824120603,0.0,0.5920986579963311,0.5920986579963311,0.0,236.0,236.0,0.0,398.0,398.0,0.0,162.0,162.0,0.0
35,vision_threatening_dr_miss,learned_logistic,0.7379518072289156,0.7379518072289156,0.0,0.7335213032581454,0.7335213032581454,0.0,245.0,245.0,0.0,332.0,332.0,0.0,87.0,87.0,0.0
35,vision_threatening_dr_miss,ophagent_combined,0.6024096385542169,0.6024096385542169,0.0,0.5951872772173524,0.5951872772173524,0.0,200.0,200.0,0.0,332.0,332.0,0.0,132.0,132.0,0.0
36,vision_threatening_dr_miss,learned_logistic,0.7647058823529411,0.7647058823529411,0.0,0.7628702876031371,0.7628702876031371,0.0,286.0,286.0,0.0,374.0,374.0,0.0,88.0,88.0,0.0
36,vision_threatening_dr_miss,ophagent_combined,0.7058823529411765,0.7058823529411765,0.0,0.7035694454155653,0.7035694454155653,0.0,264.0,264.0,0.0,374.0,374.0,0.0,110.0,110.0,0.0
37,vision_threatening_dr_miss,learned_logistic,0.7485207100591716,0.7485207100591716,0.0,0.7502702398928814,0.7502702398928814,0.0,253.0,253.0,0.0,338.0,338.0,0.0,85.0,85.0,0.0
37,vision_threatening_dr_miss,ophagent_combined,0.5710059171597633,0.5710059171597633,0.0,0.5697411373429248,0.5697411373429248,0.0,193.0,193.0,0.0,338.0,338.0,0.0,145.0,145.0,0.0
38,vision_threatening_dr_miss,learned_logistic,0.7425,0.7425,0.0,0.7420618715427102,0.7420618715427102,0.0,297.0,297.0,0.0,400.0,400.0,0.0,103.0,103.0,0.0
38,vision_threatening_dr_miss,ophagent_combined,0.645,0.645,0.0,0.6426394833526333,0.6426394833526333,0.0,258.0,258.0,0.0,400.0,400.0,0.0,142.0,142.0,0.0
39,vision_threatening_dr_miss,learned_logistic,0.6860158311345647,0.6860158311345647,0.0,0.6830655550559791,0.6830655550559791,0.0,260.0,260.0,0.0,379.0,379.0,0.0,119.0,119.0,0.0
39,vision_threatening_dr_miss,ophagent_combined,0.633245382585752,0.633245382585752,0.0,0.6323847713052392,0.6323847713052392,0.0,240.0,240.0,0.0,379.0,379.0,0.0,139.0,139.0,0.0
40,vision_threatening_dr_miss,learned_logistic,0.7131367292225201,0.7131367292225201,0.0,0.7147360508414375,0.7147360508414375,0.0,266.0,266.0,0.0,373.0,373.0,0.0,107.0,107.0,0.0
40,vision_threatening_dr_miss,ophagent_combined,0.6407506702412868,0.6407506702412868,0.0,0.6453749671548893,0.6453749671548893,0.0,239.0,239.0,0.0,373.0,373.0,0.0,134.0,134.0,0.0
41,vision_threatening_dr_miss,learned_logistic,0.6837837837837838,0.6837837837837838,0.0,0.6814652406375045,0.6814652406375045,0.0,253.0,253.0,0.0,370.0,370.0,0.0,117.0,117.0,0.0
41,vision_threatening_dr_miss,ophagent_combined,0.5945945945945946,0.5945945945945946,0.0,0.5932336079110668,0.5932336079110668,0.0,220.0,220.0,0.0,370.0,370.0,0.0,150.0,150.0,0.0
42,vision_threatening_dr_miss,learned_logistic,0.7185185185185186,0.7185185185185186,0.0,0.717095521158655,0.717095521158655,0.0,291.0,291.0,0.0,405.0,405.0,0.0,114.0,114.0,0.0
42,vision_threatening_dr_miss,ophagent_combined,0.6098765432098765,0.6098765432098765,0.0,0.6037421218487394,0.6037421218487394,0.0,247.0,247.0,0.0,405.0,405.0,0.0,158.0,158.0,0.0
