seed,target,target_role,fold,feature,standardized_coefficient,abs_standardized_coefficient,sign,train_records,test_records,train_positive_records,test_positive_records,train_unique_images,test_unique_images
42,vision_threatening_dr_miss,primary,5,top2_grade,0.11223942608583944,0.11223942608583944,1,5274,1326,291,100,879,221
42,vision_threatening_dr_miss,primary,5,top2_confidence,0.1786186138400789,0.1786186138400789,1,5274,1326,291,100,879,221
42,vision_threatening_dr_miss,primary,5,severe_prob_mass,-1.2160271760094723,1.2160271760094723,-1,5274,1326,291,100,879,221
42,vision_threatening_dr_miss,primary,5,expected_grade,1.296334997433959,1.296334997433959,1,5274,1326,291,100,879,221
42,vision_threatening_dr_miss,primary,5,expected_gap,0.6135131250197322,0.6135131250197322,1,5274,1326,291,100,879,221
42,vision_threatening_dr_miss,primary,5,top2_more_severe,-0.12014619286788511,0.12014619286788511,-1,5274,1326,291,100,879,221
42,vision_threatening_dr_miss,primary,5,pred_le_2,1.4564298742878976,1.4564298742878976,1,5274,1326,291,100,879,221
42,vision_threatening_dr_miss,primary,5,gated_severe_prob_mass,0.4696529449914715,0.4696529449914715,1,5274,1326,291,100,879,221
42,vision_threatening_dr_miss,primary,5,top2_more_severe_conf,0.17048458011517187,0.17048458011517187,1,5274,1326,291,100,879,221
42,dangerous_undergrading,secondary,1,confidence,0.23620025192616603,0.23620025192616603,1,5256,1344,346,84,876,224
42,dangerous_undergrading,secondary,1,margin,0.00691551997367029,0.00691551997367029,1,5256,1344,346,84,876,224
42,dangerous_undergrading,secondary,1,entropy_norm,-0.1278763179232427,0.1278763179232427,-1,5256,1344,346,84,876,224
42,dangerous_undergrading,secondary,1,pred_grade,0.7932653838146264,0.7932653838146264,1,5256,1344,346,84,876,224
42,dangerous_undergrading,secondary,1,top2_grade,-0.18085381881642576,0.18085381881642576,-1,5256,1344,346,84,876,224
42,dangerous_undergrading,secondary,1,top2_confidence,0.3740802290786385,0.3740802290786385,1,5256,1344,346,84,876,224
42,dangerous_undergrading,secondary,1,severe_prob_mass,-1.124276313890208,1.124276313890208,-1,5256,1344,346,84,876,224
42,dangerous_undergrading,secondary,1,expected_grade,1.2011064981195616,1.2011064981195616,1,5256,1344,346,84,876,224
42,dangerous_undergrading,secondary,1,expected_gap,0.9757637136830809,0.9757637136830809,1,5256,1344,346,84,876,224
42,dangerous_undergrading,secondary,1,top2_more_severe,0.1226018626043306,0.1226018626043306,1,5256,1344,346,84,876,224
42,dangerous_undergrading,secondary,1,pred_le_2,1.2309550706934862,1.2309550706934862,1,5256,1344,346,84,876,224
42,dangerous_undergrading,secondary,1,gated_severe_prob_mass,0.33340166931978354,0.33340166931978354,1,5256,1344,346,84,876,224
42,dangerous_undergrading,secondary,1,top2_more_severe_conf,0.12773333881790297,0.12773333881790297,1,5256,1344,346,84,876,224
42,dangerous_undergrading,secondary,2,confidence,0.24105437999648746,0.24105437999648746,1,5286,1314,332,98,881,219
42,dangerous_undergrading,secondary,2,margin,0.04943131313117731,0.04943131313117731,1,5286,1314,332,98,881,219
42,dangerous_undergrading,secondary,2,entropy_norm,-0.05300260236328696,0.05300260236328696,-1,5286,1314,332,98,881,219
42,dangerous_undergrading,secondary,2,pred_grade,0.710683190870281,0.710683190870281,1,5286,1314,332,98,881,219
42,dangerous_undergrading,secondary,2,top2_grade,-0.14016064888682292,0.14016064888682292,-1,5286,1314,332,98,881,219
42,dangerous_undergrading,secondary,2,top2_confidence,0.2708639759085859,0.2708639759085859,1,5286,1314,332,98,881,219
42,dangerous_undergrading,secondary,2,severe_prob_mass,-1.0958872079703796,1.0958872079703796,-1,5286,1314,332,98,881,219
42,dangerous_undergrading,secondary,2,expected_grade,1.0591755699378218,1.0591755699378218,1,5286,1314,332,98,881,219
42,dangerous_undergrading,secondary,2,expected_gap,0.8225637077697145,0.8225637077697145,1,5286,1314,332,98,881,219
42,dangerous_undergrading,secondary,2,top2_more_severe,0.1148135417314284,0.1148135417314284,1,5286,1314,332,98,881,219
42,dangerous_undergrading,secondary,2,pred_le_2,1.2177685952317798,1.2177685952317798,1,5286,1314,332,98,881,219
42,dangerous_undergrading,secondary,2,gated_severe_prob_mass,0.3424918105218758,0.3424918105218758,1,5286,1314,332,98,881,219
42,dangerous_undergrading,secondary,2,top2_more_severe_conf,0.3209476378079941,0.3209476378079941,1,5286,1314,332,98,881,219
42,dangerous_undergrading,secondary,3,confidence,-0.16906488559767127,0.16906488559767127,-1,5286,1314,321,109,881,219
42,dangerous_undergrading,secondary,3,margin,-0.07177635800040558,0.07177635800040558,-1,5286,1314,321,109,881,219
42,dangerous_undergrading,secondary,3,entropy_norm,-0.1307568135238454,0.1307568135238454,-1,5286,1314,321,109,881,219
42,dangerous_undergrading,secondary,3,pred_grade,0.9274405511359042,0.9274405511359042,1,5286,1314,321,109,881,219
42,dangerous_undergrading,secondary,3,top2_grade,-0.18536016823107007,0.18536016823107007,-1,5286,1314,321,109,881,219
42,dangerous_undergrading,secondary,3,top2_confidence,-0.09343469270472489,0.09343469270472489,-1,5286,1314,321,109,881,219
42,dangerous_undergrading,secondary,3,severe_prob_mass,-1.2081437139548759,1.2081437139548759,-1,5286,1314,321,109,881,219
42,dangerous_undergrading,secondary,3,expected_grade,1.2884424835196648,1.2884424835196648,1,5286,1314,321,109,881,219
42,dangerous_undergrading,secondary,3,expected_gap,0.7815038944818983,0.7815038944818983,1,5286,1314,321,109,881,219
42,dangerous_undergrading,secondary,3,top2_more_severe,-0.021601808365074537,0.021601808365074537,-1,5286,1314,321,109,881,219
42,dangerous_undergrading,secondary,3,pred_le_2,1.341831971889395,1.341831971889395,1,5286,1314,321,109,881,219
42,dangerous_undergrading,secondary,3,gated_severe_prob_mass,0.2484075793189096,0.2484075793189096,1,5286,1314,321,109,881,219
42,dangerous_undergrading,secondary,3,top2_more_severe_conf,0.42044399801908394,0.42044399801908394,1,5286,1314,321,109,881,219
