seed,target,target_role,backbone,ranking_method,review_budget,n_records,reviewed_n,total_dangerous,captured,residual,recall,precision,lift
43,large_undergrading,primary,vit_b_imagenet,top2_more_severe_only,0.2,1100,220,43,27,16,0.627906976744186,0.12272727272727273,3.13953488372093
43,large_undergrading,primary,vit_b_imagenet,ophagent_combined,0.2,1100,220,43,25,18,0.5813953488372093,0.11363636363636363,2.9069767441860463
43,large_undergrading,primary,vit_b_imagenet,margin_only,0.2,1100,220,43,19,24,0.4418604651162791,0.08636363636363636,2.2093023255813953
43,large_undergrading,primary,vit_b_official_like,learned_logistic,0.2,1100,220,55,40,15,0.7272727272727273,0.18181818181818182,3.6363636363636362
43,large_undergrading,primary,vit_b_official_like,expected_gap_only,0.2,1100,220,55,43,12,0.7818181818181819,0.19545454545454546,3.909090909090909
43,large_undergrading,primary,vit_b_official_like,gated_severe_prob_mass_only,0.2,1100,220,55,39,16,0.7090909090909091,0.17727272727272728,3.5454545454545454
43,large_undergrading,primary,vit_b_official_like,top2_more_severe_only,0.2,1100,220,55,37,18,0.6727272727272727,0.16818181818181818,3.3636363636363633
43,large_undergrading,primary,vit_b_official_like,ophagent_combined,0.2,1100,220,55,36,19,0.6545454545454545,0.16363636363636364,3.2727272727272725
43,large_undergrading,primary,vit_b_official_like,margin_only,0.2,1100,220,55,27,28,0.4909090909090909,0.12272727272727273,2.4545454545454546
43,large_undergrading,primary,vit_l_official_like,learned_logistic,0.2,1100,220,41,23,18,0.5609756097560976,0.10454545454545454,2.8048780487804876
43,large_undergrading,primary,vit_l_official_like,expected_gap_only,0.2,1100,220,41,15,26,0.36585365853658536,0.06818181818181818,1.829268292682927
43,large_undergrading,primary,vit_l_official_like,gated_severe_prob_mass_only,0.2,1100,220,41,22,19,0.5365853658536586,0.1,2.682926829268293
43,large_undergrading,primary,vit_l_official_like,top2_more_severe_only,0.2,1100,220,41,24,17,0.5853658536585366,0.10909090909090909,2.926829268292683
43,large_undergrading,primary,vit_l_official_like,ophagent_combined,0.2,1100,220,41,24,17,0.5853658536585366,0.10909090909090909,2.926829268292683
43,large_undergrading,primary,vit_l_official_like,margin_only,0.2,1100,220,41,20,21,0.4878048780487805,0.09090909090909091,2.439024390243903
43,vision_threatening_dr_miss,primary,convnext_tiny,learned_logistic,0.2,1100,220,65,46,19,0.7076923076923077,0.20909090909090908,3.5384615384615383
43,vision_threatening_dr_miss,primary,convnext_tiny,expected_gap_only,0.2,1100,220,65,47,18,0.7230769230769231,0.21363636363636362,3.6153846153846154
43,vision_threatening_dr_miss,primary,convnext_tiny,gated_severe_prob_mass_only,0.2,1100,220,65,49,16,0.7538461538461538,0.22272727272727272,3.769230769230769
43,vision_threatening_dr_miss,primary,convnext_tiny,top2_more_severe_only,0.2,1100,220,65,43,22,0.6615384615384615,0.19545454545454546,3.307692307692308
43,vision_threatening_dr_miss,primary,convnext_tiny,ophagent_combined,0.2,1100,220,65,43,22,0.6615384615384615,0.19545454545454546,3.307692307692308
43,vision_threatening_dr_miss,primary,convnext_tiny,margin_only,0.2,1100,220,65,34,31,0.5230769230769231,0.15454545454545454,2.6153846153846154
43,vision_threatening_dr_miss,primary,retfound_official_like,learned_logistic,0.2,1100,220,60,45,15,0.75,0.20454545454545456,3.7500000000000004
43,vision_threatening_dr_miss,primary,retfound_official_like,expected_gap_only,0.2,1100,220,60,39,21,0.65,0.17727272727272728,3.2500000000000004
43,vision_threatening_dr_miss,primary,retfound_official_like,gated_severe_prob_mass_only,0.2,1100,220,60,48,12,0.8,0.21818181818181817,4.0
43,vision_threatening_dr_miss,primary,retfound_official_like,top2_more_severe_only,0.2,1100,220,60,39,21,0.65,0.17727272727272728,3.2500000000000004
43,vision_threatening_dr_miss,primary,retfound_official_like,ophagent_combined,0.2,1100,220,60,42,18,0.7,0.19090909090909092,3.5000000000000004
43,vision_threatening_dr_miss,primary,retfound_official_like,margin_only,0.2,1100,220,60,32,28,0.5333333333333333,0.14545454545454545,2.6666666666666665
43,vision_threatening_dr_miss,primary,swin_tiny,learned_logistic,0.2,1100,220,62,44,18,0.7096774193548387,0.2,3.5483870967741935
43,vision_threatening_dr_miss,primary,swin_tiny,expected_gap_only,0.2,1100,220,62,37,25,0.5967741935483871,0.16818181818181818,2.9838709677419355
43,vision_threatening_dr_miss,primary,swin_tiny,gated_severe_prob_mass_only,0.2,1100,220,62,47,15,0.7580645161290323,0.21363636363636362,3.790322580645161
43,vision_threatening_dr_miss,primary,swin_tiny,top2_more_severe_only,0.2,1100,220,62,37,25,0.5967741935483871,0.16818181818181818,2.9838709677419355
43,vision_threatening_dr_miss,primary,swin_tiny,ophagent_combined,0.2,1100,220,62,29,33,0.46774193548387094,0.1318181818181818,2.3387096774193545
43,vision_threatening_dr_miss,primary,swin_tiny,margin_only,0.2,1100,220,62,24,38,0.3870967741935484,0.10909090909090909,1.9354838709677418
43,vision_threatening_dr_miss,primary,vit_b_imagenet,learned_logistic,0.2,1100,220,58,40,18,0.6896551724137931,0.18181818181818182,3.4482758620689657
43,vision_threatening_dr_miss,primary,vit_b_imagenet,expected_gap_only,0.2,1100,220,58,36,22,0.6206896551724138,0.16363636363636364,3.103448275862069
43,vision_threatening_dr_miss,primary,vit_b_imagenet,gated_severe_prob_mass_only,0.2,1100,220,58,43,15,0.7413793103448276,0.19545454545454546,3.7068965517241383
